,team_short_display_name,game_id,starting_lineup,athlete_display_name,min,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,season,season_type,game_date,FGM,FGA,3PM,3PA,FTM,FTA,largest_lead,home_away,opponent_id,opponent_abbrev,points_per_min,prev_player_ppg,prev_player_points_per_min,game_total_points,game_number,Cleaned_position_bigs_guards,cum_average_opp_points_to_role,cum_average_opp_min_allowed_to_role,prev_3_games_opp_min_allowed_to_role,prev_3_games__opp_points_allowed_to_role,total_pts_allowed,prev_total_opp_ppg,Home,Starter_numeric,prev_avg_pts_to_role_pos,prev_avg_min_to_role_position,Big_man,Guard
0,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",Chuma Okeke,36,1,4,5,1,4,1,2,2,22,True,False,False,False,5.0,4278052,C. Okeke,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278052.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,9,14,3,5,1,1,6.0,AWAY,2633,TENN,0.6111111111111112,11.5,0.37,84,5,Big_man,63.5,32.65,32.733,61.333,84,74.5,0,1,36.667,31.223,1,0
1,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",Horace Spencer,19,3,2,5,0,0,2,0,3,2,True,False,False,False,0.0,3908520,H. Spencer,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908520.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,0,1,0,0,2,2,6.0,AWAY,2633,TENN,0.10526315789473684,3.0,0.276,84,5,Big_man,63.5,32.65,32.733,61.333,84,74.5,0,1,36.667,31.223,1,0
2,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",Malik Dunbar,20,0,3,3,2,2,0,0,0,5,True,False,False,False,4.0,4278055,M. Dunbar,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278055.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,1,3,1,2,2,4,6.0,AWAY,2633,TENN,0.25,9.0,0.405,84,5,Guard,63.5,32.65,32.733,61.333,84,74.5,0,1,24.667,33.723,0,1
3,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",Jared Harper,31,1,2,3,8,1,0,2,3,16,True,False,False,False,1.0,4066248,J. Harper,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066248.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,5,13,2,7,4,4,6.0,AWAY,2633,TENN,0.5161290322580645,15.5,0.445,84,5,Guard,63.5,32.65,32.733,61.333,84,74.5,0,1,24.667,33.723,0,1
4,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",Bryce Brown,33,0,3,3,2,2,0,1,1,16,True,False,False,False,2.0,3908521,B. Brown,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908521.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,4,10,4,9,4,5,6.0,AWAY,2633,TENN,0.48484848484848486,11.75,0.367,84,5,Guard,63.5,32.65,32.733,61.333,84,74.5,0,1,24.667,33.723,0,1
5,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",Anfernee McLemore,22,0,2,2,0,0,0,0,3,7,False,False,False,False,24.0,4066253,A. McLemore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066253.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,2,4,1,3,2,2,6.0,AWAY,2633,TENN,0.3181818181818182,4.75,0.243,84,5,Big_man,11.0,12.292,11.139,9.0,84,74.5,0,0,5.333,12.667,1,0
6,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",Danjel Purifoy,4,0,1,1,0,0,0,0,0,0,False,False,False,False,3.0,4066249,D. Purifoy,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066249.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,0,2,0,2,0,0,6.0,AWAY,2633,TENN,0.0,2.25,0.172,84,5,Big_man,11.0,12.292,11.139,9.0,84,74.5,0,0,5.333,12.667,1,0
7,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",J'Von McCormick,15,0,0,0,1,1,0,0,2,7,False,False,False,False,5.0,4395709,J. McCormick,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395709.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,3,4,0,1,1,2,6.0,AWAY,2633,TENN,0.4666666666666667,5.0,0.323,84,5,Guard,11.0,12.292,11.139,9.0,84,74.5,0,0,3.667,9.167,0,1
8,Auburn,401082996,"{'Bryce Brown', 'Horace Spencer', 'Malik Dunbar', 'Jared Harper', 'Chuma Okeke'}",Samir Doughty,20,1,3,4,2,1,0,0,2,9,False,False,False,False,10.0,3913188,S. Doughty,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3913188.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-03-09,2,5,2,5,3,4,6.0,AWAY,2633,TENN,0.45,5.25,0.247,84,5,Guard,11.0,12.292,11.139,9.0,84,74.5,0,0,3.667,9.167,0,1
9,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Chuma Okeke,32,2,4,6,2,1,1,0,3,11,True,False,False,False,5.0,4278052,C. Okeke,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278052.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,5,11,1,5,0,0,3.0,AWAY,96,UK,0.34375,13.31,0.426,80,14,Big_man,77.5,27.5,,,80,95.0,0,1,39.25,25.188,1,0
10,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Anfernee McLemore,17,0,1,1,0,0,1,0,5,2,True,False,False,False,24.0,4066253,A. McLemore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066253.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,0,3,0,2,2,4,3.0,AWAY,96,UK,0.11764705882352941,6.77,0.328,80,14,Big_man,77.5,27.5,,,80,95.0,0,1,39.25,25.188,1,0
