team_id,team_name,pace_rating,pace_rank,ESPN_conference_id,conference_name,kenpom_name,Tempo,AdjTempo,RankTempo,RankAdjTempo
2415,Morgan State,11.413252804284246,1,16,MEAC,Morgan St.,74.104,71.8747,4,13
2443,New Orleans,11.041597837455532,2,25,Southland,New Orleans,74.611,72.1624,1,10
2377,McNeese,10.973407032167795,3,25,Southland,McNeese St.,72.7472,69.6111,18,55
232,Charleston,10.800827055022266,4,10,CAA,Charleston,74.3115,73.5167,2,2
2569,SC State,10.707406943437945,5,16,MEAC,South Carolina St.,73.3309,70.0443,9,44
2599,St. John's,10.654936189777002,6,4,Big East,St. John's,74.2243,73.5757,3,1
189,Bowling Green,10.64865399838928,7,14,MAC,Bowling Green,73.6989,72.7967,7,3
2198,E Kentucky,10.401387644040389,8,46,ASUN,Eastern Kentucky,71.6901,70.89,34,24
2400,Miss Valley St,10.388183833797434,9,26,SWAC,Mississippi Valley St.,72.6348,70.7749,20,27
3101,Dixie State,10.354706621921562,10,30,WAC,Dixie St.,72.8046,71.3913,15,17
2110,C Arkansas,10.318689697560131,11,46,ASUN,Central Arkansas,72.7998,71.8818,16,12
2466,N'Western St,10.27152682846026,12,25,Southland,Northwestern St.,73.5233,71.1583,8,18
276,Marshall,10.26856923520451,13,11,Conference USA,Marshall,72.8331,72.3185,14,7
2803,Bryant,10.25631437752514,14,19,Northeast,Bryant,72.4779,72.5964,21,4
2250,Gonzaga,10.23763368009915,15,29,WCC,Gonzaga,73.7789,72.489,6,5
333,Alabama,10.169079449170917,16,23,SEC,Alabama,73.269,71.9053,10,11
2710,W Illinois,10.163091030135046,17,49,Summit League,Western Illinois,72.2142,70.6134,24,29
2154,Coppin State,10.153635856175578,18,16,MEAC,Coppin St.,74.0051,72.2346,5,8
47,Howard,10.131912258639057,19,16,MEAC,Howard,72.3442,70.4223,23,35
112358,Long Island,10.127857580195673,20,19,Northeast,LIU,72.7647,72.3593,17,6
2502,Portland State,10.108962678888302,21,5,Big Sky,Portland St.,71.6422,70.9814,36,21
2545,SE Louisiana,10.100853615798183,22,25,Southland,Southeastern Louisiana,73.0135,70.5636,11,31
12,Arizona,10.07418474328345,23,21,PAC-12,Arizona,72.7151,72.2291,19,9
172,Cornell,10.054478119483713,24,12,Ivy League,Cornell,72.9417,71.7383,12,16
292,UT Rio Grande,10.03734610486008,25,30,WAC,UT Rio Grande Valley,72.8935,71.7643,13,15
2447,Nicholls,10.01556741229866,26,25,Southland,Nicholls St.,72.0664,69.8028,27,51
158,Nebraska,10.010247377698738,27,7,Big 10,Nebraska,71.9866,71.1546,28,19
2277,Houston Baptist,9.99220558134984,28,25,Southland,Houston Baptist,70.8535,68.7644,51,92
198,Oral Roberts,9.920707989355266,29,49,Summit League,Oral Roberts,71.7082,70.3492,33,36
2,Auburn,9.90790546704289,30,23,SEC,Auburn,71.2739,70.1123,42,42
2084,Buffalo,9.80048260992847,31,14,MAC,Buffalo,72.1245,71.0379,25,20
2199,E Michigan,9.771698138746231,32,14,MAC,Eastern Michigan,70.5386,69.2143,60,68
357,Texas A&M-CC,9.756569342744312,33,25,Southland,Texas A&M Corpus Chris,71.9284,69.3634,30,63
2579,South Carolina,9.751460773811683,34,23,SEC,South Carolina,72.1003,70.4958,26,33
2492,Pepperdine,9.744495132402657,35,29,WCC,Pepperdine,71.3298,69.9031,40,48
8,Arkansas,9.739785241658947,36,23,SEC,Arkansas,71.923,70.6934,31,28
2643,The Citadel,9.739003687288074,37,24,Southern,The Citadel,70.3998,70.4856,69,34
2546,SE Missouri St,9.71353017309538,38,20,OVC,Southeast Missouri St.,72.4306,71.7758,22,14
2504,Prairie View,9.695490507174263,39,26,SWAC,Prairie View A&M,71.7858,70.2576,32,38
2000,Abilene Chrstn,9.658089421033274,40,30,WAC,Abilene Christian,71.134,70.3257,47,37
299,Long Beach St,9.65034291834537,41,9,Big West,Long Beach St.,70.8218,70.9403,53,23
331,E Washington,9.617386769774237,42,5,Big Sky,Eastern Washington,70.5944,69.6794,59,52
269,Marquette,9.609785529547379,43,4,Big East,Marquette,71.6118,70.8638,37,25
2547,Seattle U,9.578830485200973,44,30,WAC,Seattle,71.947,70.5032,29,32
2617,SF Austin,9.564836600551647,45,30,WAC,Stephen F. Austin,70.7206,69.1497,54,72
2011,Alabama State,9.538688995451482,46,26,SWAC,Alabama St.,71.1919,69.4362,45,62
253,Southern Utah,9.533581794518822,47,5,Big Sky,Southern Utah,69.7073,68.4605,89,104
167,New Mexico,9.532582918539385,48,44,MWC,New Mexico,71.1725,70.9491,46,22
2050,Ball State,9.525914656618653,49,14,MAC,Ball St.,71.6843,69.9459,35,46
2571,S Dakota St,9.519248010252623,50,49,Summit League,South Dakota St.,71.355,69.4429,39,61
70,Idaho,9.513335836807322,51,5,Big Sky,Idaho,70.8295,69.9751,52,45
154,Wake Forest,9.508312146031527,52,2,ACC,Wake Forest,71.3,70.611,41,30
2501,Portland,9.45719119046392,53,29,WCC,Portland,71.0589,69.0648,48,74
171,Columbia,9.42249469351399,54,12,Ivy League,Columbia,70.7133,69.5409,55,58
526,FGCU,9.39244414563768,55,46,ASUN,Florida Gulf Coast,70.0829,70.2182,80,40
5,UAB,9.36546093877545,56,11,Conference USA,UAB,69.9952,68.9048,82,79
2541,Santa Clara,9.359577145554736,57,29,WCC,Santa Clara,71.2184,70.8103,44,26
