,athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date
79,Jalen Wilson,Kansas,39,7-15,4-8,4-5,3,7,10,4,0,0,1,0,22,True,False,False,False,10.0,4431714,J. Wilson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431714.png,Forward,F,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
80,David McCormack,Kansas,21,6-12,0-0,1-2,6,2,8,2,2,1,3,5,13,True,False,False,False,33.0,4397019,D. McCormack,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397019.png,Forward,F,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
81,Christian Braun,Kansas,28,5-11,1-5,0-0,1,1,2,0,0,0,1,0,11,True,False,False,False,2.0,4431767,C. Braun,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431767.png,Guard,G,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
82,Ochai Agbaji,Kansas,37,3-10,1-6,2-3,0,0,0,2,3,2,0,1,9,True,False,False,False,30.0,4397018,O. Agbaji,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397018.png,Guard,G,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
83,Marcus Garrett,Kansas,33,1-4,0-2,2-2,0,3,3,5,5,0,2,4,4,True,False,False,False,0.0,4277892,M. Garrett,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277892.png,Guard,G,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
84,Mitch Lightfoot,Kansas,15,1-6,0-0,0-0,0,2,2,0,0,0,0,1,2,False,False,False,False,44.0,4066300,M. Lightfoot,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066300.png,Forward,F,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
85,Tyon Grant-Foster,Kansas,4,0-1,0-0,0-0,0,2,2,0,0,0,1,1,0,False,False,False,False,1.0,4700527,T. Grant-Foster,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4700527.png,Guard,G,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
86,Bryce Thompson,Kansas,15,0-5,0-1,0-0,1,1,2,1,0,0,0,1,0,False,False,False,False,24.0,4432200,B. Thompson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432200.png,Guard,G,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
87,Dajuan Harris,Kansas,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,3.0,4431983,D. Harris,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431983.png,Guard,G,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
88,Tristan Enaruna,Kansas,6,1-3,1-1,0-0,2,1,3,1,0,0,0,0,3,False,False,False,False,13.0,4431734,T. Enaruna,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431734.png,Guard,G,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2305,KU,0022B4,401252511,2021,2,2021-02-13
3198,Armando Bacot,North Carolina,22,4-5,0-0,3-4,3,5,8,0,0,3,1,0,11,True,False,False,False,5.0,4431674,A. Bacot,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431674.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3199,Garrison Brooks,North Carolina,28,3-10,0-0,1-2,2,9,11,1,0,2,4,2,7,True,False,False,False,15.0,4277908,G. Brooks,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277908.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3200,R.J. Davis,North Carolina,27,4-9,1-3,2-4,2,2,4,1,1,0,1,3,11,True,False,False,False,4.0,4433176,R.J. Davis,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433176.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3201,Caleb Love,North Carolina,26,4-11,1-4,8-8,0,1,1,4,2,0,1,3,17,True,False,False,False,2.0,4433144,C. Love,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433144.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3202,Leaky Black,North Carolina,28,2-8,0-2,0-0,1,1,2,1,1,1,1,1,4,True,False,False,False,1.0,4395650,L. Black,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395650.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3203,Duwe Farris,North Carolina,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,34.0,4701848,D. Farris,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701848.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3204,Walker Kessler,North Carolina,5,3-4,0-1,0-0,2,2,4,0,0,0,1,1,6,False,False,False,False,13.0,4433136,W. Kessler,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433136.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3205,Day'Ron Sharpe,North Carolina,22,4-8,0-0,5-6,5,5,10,2,2,1,0,3,13,False,False,False,False,11.0,4432194,D. Sharpe,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432194.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3206,Ryan McAdoo,North Carolina,1,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,35.0,4278388,R. McAdoo,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278388.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3207,Walker Miller,North Carolina,2,1-2,0-0,0-0,0,0,0,0,0,0,0,1,2,False,False,False,False,22.0,4277910,W. Miller,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277910.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3208,Creighton Lebo,North Carolina,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,False,False,False,False,25.0,4701847,C. Lebo,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701847.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3209,Puff Johnson,North Carolina,3,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,False,False,False,False,14.0,4701846,P. Johnson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701846.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
