,team_short_display_name,game_id,starting_lineup,athlete_display_name,min,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,season,season_type,game_date,FGM,FGA,3PM,3PA,FTM,FTA,largest_lead,home_away,opponent_id,opponent_abbrev
0,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",JT Thor,24,1,3,4,0,1,2,1,3,13,True,False,False,False,10.0,4702233,J. Thor,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702233.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,6,9,1,3,0,0,2.0,HOME,239,BAY
1,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Jaylin Williams,30,3,5,8,2,0,2,0,4,17,True,False,False,False,23.0,4431776,J. Williams,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431776.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,7,10,3,6,0,0,2.0,HOME,239,BAY
2,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Allen Flanigan,34,1,7,8,6,1,0,5,1,11,True,False,False,False,22.0,4432874,A. Flanigan,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432874.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,3,14,1,6,4,6,2.0,HOME,239,BAY
3,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Sharife Cooper,33,1,6,7,5,0,0,4,1,15,True,False,False,False,2.0,4432173,S. Cooper,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432173.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,6,17,1,5,2,2,2.0,HOME,239,BAY
4,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Jamal Johnson,21,2,2,4,1,0,0,0,2,0,True,False,False,False,1.0,4278281,J. Johnson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278281.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,0,4,0,1,0,0,2.0,HOME,239,BAY
5,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Javon Franklin,5,0,0,0,0,0,0,1,1,0,False,False,False,False,4.0,4592747,J. Franklin,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592747.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,0,0,0,0,0,0,2.0,HOME,239,BAY
6,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Chris Moore,7,2,0,2,0,0,0,0,0,4,False,False,False,False,5.0,4433200,C. Moore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433200.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,1,1,0,0,2,3,2.0,HOME,239,BAY
7,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Dylan Cardwell,14,1,0,1,0,1,0,0,2,2,False,False,False,False,44.0,4433174,D. Cardwell,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433174.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,1,2,0,0,0,0,2.0,HOME,239,BAY
8,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Babatunde Akingbola,7,2,1,3,0,0,0,0,1,0,False,False,False,False,13.0,4431873,B. Akingbola,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431873.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,0,0,0,0,0,2,2.0,HOME,239,BAY
9,Auburn,401254048,"{'Jamal Johnson', 'JT Thor', 'Allen Flanigan', 'Sharife Cooper', 'Jaylin Williams'}",Devan Cambridge,25,2,2,4,3,0,0,2,0,10,False,False,False,False,35.0,4592749,D. Cambridge,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592749.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2021-01-30,4,11,0,4,2,2,2.0,HOME,239,BAY
10,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",JT Thor,19,2,1,3,2,0,2,0,1,5,True,False,False,False,10.0,4702233,J. Thor,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702233.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,1,4,0,2,3,6,1.0,AWAY,8,ARK
11,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",Jaylin Williams,30,1,1,2,2,0,0,5,2,13,True,False,False,False,23.0,4431776,J. Williams,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431776.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,5,8,2,2,1,4,1.0,AWAY,8,ARK
12,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",Devan Cambridge,21,0,4,4,0,1,0,0,3,15,True,False,False,False,35.0,4592749,D. Cambridge,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592749.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,5,6,5,6,0,0,1.0,AWAY,8,ARK
13,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",Allen Flanigan,29,3,7,10,3,0,0,5,3,19,True,False,False,False,22.0,4432874,A. Flanigan,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432874.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,6,11,3,7,4,5,1.0,AWAY,8,ARK
14,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",Justin Powell,32,2,4,6,9,2,0,7,2,4,True,False,False,False,24.0,4432250,J. Powell,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432250.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,1,8,0,3,2,3,1.0,AWAY,8,ARK
15,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",Javon Franklin,3,0,0,0,2,0,0,0,0,0,False,False,False,False,4.0,4592747,J. Franklin,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592747.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,0,1,0,1,0,2,1.0,AWAY,8,ARK
16,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",Chris Moore,15,1,1,2,0,0,0,0,1,2,False,False,False,False,5.0,4433200,C. Moore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433200.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,0,1,0,1,2,2,1.0,AWAY,8,ARK
17,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",Dylan Cardwell,16,1,3,4,0,0,0,1,2,4,False,False,False,False,44.0,4433174,D. Cardwell,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433174.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,2,3,0,0,0,0,1.0,AWAY,8,ARK
18,Auburn,401258718,"{'JT Thor', 'Allen Flanigan', 'Devan Cambridge', 'Justin Powell', 'Jaylin Williams'}",Babatunde Akingbola,12,0,1,1,0,0,3,0,3,2,False,False,False,False,13.0,4431873,B. Akingbola,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431873.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2021,2,2020-12-31,1,1,0,0,0,0,1.0,AWAY,8,ARK
